--------------------------------------------------------------------------------
TIMESTAMP: 08:59:35.899 AM 30-Jun-2022
PARAMS:
  population 0
  wiggle-angle 45
  look-ahead 1
  sniff-threshold 0.9
  sniff-angle 45
  chemical-drop 3
  diffuse-share 1
  evaporation-rate 0.95
  cluster-threshold 25
  cluster-radius 10
  learning-turtles 50
  ticks-per-episode 500
  episodes 1500
  learning-rate 0.1
  discount-factor 0.9
  reward 100
  penalty -1
  e-greedy 0.5 0.9
ACTION SPACE: move-toward-chemical random-walk drop-chemical
OBSERVATION SPACE: chemical-here in-cluster
REWARD: rewardFunc8
--------------------------------------------------------------------------------
Episode, Tick, Avg cluster size X tick, Avg reward X episode, move-toward-chemical, random-walk, drop-chemical
1, 99, 0, 0, 1456, 1828, 1716
1, 199, 26, 0, 3072, 3427, 3501
1, 299, 27.692307692307693, 0, 4464, 5203, 5333
1, 399, 28.928571428571427, 0, 5998, 6801, 7201
1, 499, 27.666666666666668, 0, 7541, 8395, 9064
2, 599, 0, 0, 1643, 1543, 1814
2, 699, 0, 0, 3264, 3191, 3545
2, 799, 0, 0, 4853, 4799, 5348
2, 899, 26, 0, 6364, 6479, 7157
2, 999, 0, 0, 7989, 8135, 8876
3, 1099, 0, 0, 1750, 1591, 1659
3, 1199, 0, 0, 3330, 3142, 3528
3, 1299, 0, 0, 4861, 4586, 5553
3, 1399, 0, 0, 6394, 6134, 7472
3, 1499, 0, 0, 8085, 7546, 9369
4, 1599, 0, 0, 2002, 1345, 1653
4, 1699, 27.533333333333335, 0, 3967, 2766, 3267
4, 1799, 31.17241379310345, 0, 5589, 4272, 5139
4, 1899, 31.1, 0, 7276, 5828, 6896
4, 1999, 33.36363636363637, 0, 8953, 7347, 8700
5, 2099, 0, 0, 2218, 1418, 1364
5, 2199, 0, 0, 3826, 3189, 2985
5, 2299, 0, 0, 5533, 4828, 4639
5, 2399, 0, 0, 7126, 6479, 6395
5, 2499, 0, 0, 8966, 7987, 8047
6, 2599, 0, 0, 2006, 1411, 1583
6, 2699, 0, 0, 4033, 2686, 3281
6, 2799, 26.4, 0, 5935, 4118, 4947
