--------------------------------------------------------------------------------
TIMESTAMP: 09:16:04.164 PM 26-Jun-2022
PARAMS:
  population 0
  wiggle-angle 45
  look-ahead 1
  sniff-threshold 0.9
  sniff-angle 45
  chemical-drop 3
  diffuse-share 1
  evaporation-rate 0.95
  cluster-threshold 25
  cluster-radius 10
  learning-turtles 50
  ticks-per-episode 500
  episodes 1500
  learning-rate 0.9
  discount-factor 0.1
  reward 100
  penalty -1
  e-greedy 0.5 0.9
ACTION SPACE: move-toward-chemical random-walk drop-chemical
OBSERVATION SPACE: chemical-here in-cluster
REWARD: rewardFunc8
--------------------------------------------------------------------------------
Episode, Tick, Avg cluster size X tick, Avg reward X episode, move-toward-chemical, random-walk, drop-chemical
1, 99, 0, 0, 1581, 1679, 1740
1, 199, 0, 0, 3311, 3362, 3327
1, 299, 28, 0, 4831, 5035, 5134
1, 399, 31.6875, 0, 6568, 6547, 6885
1, 499, 30, 0, 8314, 8190, 8496
2, 599, 0, 0, 1597, 1676, 1727
2, 699, 0, 0, 3189, 3321, 3490
2, 799, 0, 0, 4781, 4943, 5276
2, 899, 27.2, 0, 6376, 6689, 6935
2, 999, 26.8, 0, 8005, 8309, 8686
3, 1099, 0, 0, 1617, 1674, 1709
3, 1199, 0, 0, 3179, 3362, 3459
3, 1299, 0, 0, 4735, 5009, 5256
3, 1399, 0, 0, 6389, 6638, 6973
3, 1499, 0, 0, 7906, 8284, 8810
4, 1599, 0, 0, 1578, 1521, 1901
4, 1699, 0, 0, 3095, 3235, 3670
4, 1799, 0, 0, 4665, 4806, 5529
4, 1899, 0, 0, 6179, 6521, 7300
4, 1999, 0, 0, 7808, 8261, 8931
5, 2099, 0, 0, 1571, 1674, 1755
5, 2199, 26, 0, 3112, 3220, 3668
5, 2299, 26, 0, 4613, 4703, 5684
5, 2399, 27.166666666666668, 0, 6183, 6265, 7552
5, 2499, 0, 0, 7689, 7895, 9416
6, 2599, 0, 0, 1644, 1567, 1789
6, 2699, 0, 0, 3298, 3030, 3672
6, 2799, 0, 0, 4798, 4794, 5408
6, 2899, 0, 0, 6516, 6310, 7174
6, 2999, 0, 0, 8123, 7929, 8948
7, 3099, 0, 0, 1545, 1476, 1979
7, 3199, 0, 0, 3007, 3094, 3899
7, 3299, 26.5, 0, 4677, 4563, 5760
7, 3399, 28, 0, 6186, 6082, 7732
7, 3499, 0, 0, 7717, 7622, 9661
8, 3599, 0, 0, 1482, 1486, 2032
8, 3699, 0, 0, 3121, 3099, 3780
8, 3799, 26, 0, 4619, 4620, 5761
8, 3899, 26, 0, 6145, 6157, 7698
8, 3999, 0, 0, 7655, 7786, 9559
9, 4099, 0, 0, 1683, 1691, 1626
9, 4199, 0, 0, 3351, 3227, 3422
9, 4299, 0, 0, 4856, 4737, 5407
9, 4399, 27.95, 0, 6241, 6283, 7476
9, 4499, 26, 0, 7799, 7943, 9258
10, 4599, 0, 0, 1741, 1351, 1908
10, 4699, 0, 0, 3103, 2934, 3963
10, 4799, 0, 0, 4543, 4579, 5878
10, 4899, 0, 0, 6142, 6213, 7645
10, 4999, 0, 0, 7763, 7719, 9518
11, 5099, 0, 0, 1674, 1455, 1871
11, 5199, 0, 0, 3159, 2963, 3878
11, 5299, 0, 0, 4786, 4444, 5770
11, 5399, 0, 0, 6249, 6058, 7693
11, 5499, 0, 0, 7763, 7568, 9669
12, 5599, 0, 0, 1651, 1307, 2042
12, 5699, 0, 0, 3231, 2679, 4090
12, 5799, 0, 0, 4623, 4124, 6253
12, 5899, 0, 0, 6070, 5614, 8316
12, 5999, 0, 0, 7759, 7125, 10116
13, 6099, 0, 0, 1560, 1353, 2087
13, 6199, 0, 0, 3199, 2721, 4080
13, 6299, 0, 0, 4604, 4398, 5998
13, 6399, 0, 0, 5961, 6139, 7900
13, 6499, 0, 0, 7368, 7660, 9972
14, 6599, 0, 0, 1488, 1423, 2089
14, 6699, 0, 0, 3034, 2680, 4286
14, 6799, 0, 0, 4610, 4142, 6248
14, 6899, 0, 0, 6068, 5547, 8385
14, 6999, 0, 0, 7796, 6970, 10234
15, 7099, 0, 0, 1655, 1566, 1779
15, 7199, 0, 0, 3372, 2856, 3772
15, 7299, 0, 0, 5100, 4113, 5787
15, 7399, 0, 0, 6501, 5597, 7902
15, 7499, 0, 0, 7912, 6909, 10179
16, 7599, 0, 0, 1537, 1548, 1915
16, 7699, 0, 0, 2852, 2929, 4219
16, 7799, 0, 0, 4673, 4441, 5886
16, 7899, 0, 0, 6199, 5840, 7961
16, 7999, 0, 0, 7712, 7215, 10073
17, 8099, 0, 0, 1332, 1619, 2049
17, 8199, 0, 0, 2746, 3039, 4215
17, 8299, 0, 0, 4194, 4280, 6526
17, 8399, 0, 0, 5751, 5623, 8626
17, 8499, 0, 0, 7287, 6902, 10811
