--------------------------------------------------------------------------------
TIMESTAMP: 05:34:50.279 PM 28-Jun-2022
PARAMS:
  population 0
  wiggle-angle 45
  look-ahead 1
  sniff-threshold 0.9
  sniff-angle 45
  chemical-drop 3
  diffuse-share 1
  evaporation-rate 0.95
  cluster-threshold 25
  cluster-radius 10
  learning-turtles 50
  ticks-per-episode 500
  episodes 1500
  learning-rate 0.1
  discount-factor 0.9
  reward 100
  penalty -1
  e-greedy 0.5 0.9
ACTION SPACE: move-toward-chemical random-walk move-and-drop walk-and-drop drop-chemical
OBSERVATION SPACE: chemical-here in-cluster
REWARD: rewardFunc8
--------------------------------------------------------------------------------
Episode, Tick, Avg cluster size X tick, Avg reward X episode, move-toward-chemical, random-walk, move-and-drop, walk-and-drop, drop-chemical
1, 99, 0, 0, 1009, 987, 1088, 901, 1015
1, 199, 27.846153846153847, 0, 2006, 2073, 2129, 1810, 1982
1, 299, 26, 0, 3010, 3079, 3211, 2731, 2969
1, 399, 28.647058823529413, 0, 3916, 4244, 4203, 3720, 3917
1, 499, 27, 0, 4808, 5366, 5272, 4721, 4833
2, 599, 26, 0, 966, 1126, 1139, 987, 782
2, 699, 30, 0, 1932, 2276, 2291, 1973, 1528
2, 799, 35.432432432432435, 0, 2838, 3300, 3369, 3036, 2457
2, 899, 38.17142857142857, 0, 3793, 4267, 4498, 4024, 3418
2, 999, 32.916666666666664, 0, 4737, 5307, 5638, 5010, 4308
3, 1099, 0, 0, 1030, 1083, 1132, 974, 781
3, 1199, 31.103448275862068, 0, 2158, 2105, 2227, 1874, 1636
3, 1299, 35.794117647058826, 0, 3115, 3056, 3247, 2857, 2725
3, 1399, 34.06060606060606, 0, 4051, 4105, 4195, 3773, 3876
3, 1499, 30.818181818181817, 0, 4865, 5091, 5165, 4810, 5069
4, 1599, 0, 0, 1122, 975, 1058, 987, 858
4, 1699, 0, 0, 2358, 1955, 2038, 1845, 1804
4, 1799, 0, 0, 3549, 2872, 3119, 2674, 2786
4, 1899, 0, 0, 4777, 3686, 4405, 3398, 3734
4, 1999, 0, 0, 6074, 4433, 5675, 4185, 4633
5, 2099, 0, 0, 1090, 985, 1039, 841, 1045
5, 2199, 0, 0, 1912, 2012, 2309, 1728, 2039
5, 2299, 27.571428571428573, 0, 2851, 2980, 3410, 2552, 3207
5, 2399, 30.652173913043477, 0, 3774, 3925, 4344, 3522, 4435
5, 2499, 30.76923076923077, 0, 4625, 4838, 5393, 4409, 5735
6, 2599, 0, 0, 1166, 945, 1132, 843, 914
6, 2699, 0, 0, 2208, 1765, 2238, 1822, 1967
6, 2799, 28.8, 0, 3086, 2517, 3167, 2916, 3314
6, 2899, 34.32258064516129, 0, 3835, 3405, 4035, 4075, 4650
6, 2999, 31.666666666666668, 0, 4744, 4224, 5319, 4848, 5865
7, 3099, 0, 0, 1340, 598, 1197, 784, 1081
7, 3199, 26, 0, 2550, 1234, 2301, 1703, 2212
7, 3299, 26, 0, 3999, 1886, 3540, 2243, 3332
7, 3399, 0, 0, 5544, 2524, 4748, 2812, 4372
7, 3499, 0, 0, 7133, 3241, 5964, 3309, 5353
8, 3599, 0, 0, 1396, 799, 1146, 766, 893
8, 3699, 0, 0, 2570, 1650, 2110, 1780, 1890
8, 3799, 0, 0, 3698, 2545, 2993, 2654, 3110
8, 3899, 0, 0, 4778, 3312, 3891, 3143, 4876
8, 3999, 0, 0, 5999, 4171, 4813, 3530, 6487
9, 4099, 0, 0, 1215, 968, 1046, 741, 1030
9, 4199, 0, 0, 2382, 1796, 2253, 1590, 1979
9, 4299, 0, 0, 3460, 2512, 3835, 2249, 2944
9, 4399, 26.9, 0, 4584, 3377, 5270, 3018, 3751
9, 4499, 26, 0, 5495, 4248, 6468, 3947, 4842
10, 4599, 0, 0, 1168, 745, 1337, 854, 896
10, 4699, 26, 0, 2049, 1598, 2371, 1936, 2046
10, 4799, 26, 0, 3078, 2359, 3445, 2596, 3522
10, 4899, 28.923076923076923, 0, 4121, 3153, 4512, 3276, 4938
10, 4999, 0, 0, 5134, 3898, 5531, 4110, 6327
11, 5099, 0, 0, 1375, 901, 1163, 724, 837
11, 5199, 27.705882352941178, 0, 2504, 1941, 2165, 1458, 1932
11, 5299, 32.892857142857146, 0, 3549, 2979, 3151, 2139, 3182
11, 5399, 34.083333333333336, 0, 4600, 3720, 4215, 2834, 4631
11, 5499, 34.57142857142857, 0, 5713, 4383, 5299, 3506, 6099
12, 5599, 0, 0, 1392, 772, 1139, 672, 1025
12, 5699, 0, 0, 2425, 1769, 2042, 1614, 2150
12, 5799, 0, 0, 3404, 2741, 3133, 2219, 3503
12, 5899, 28.545454545454547, 0, 4493, 3479, 4145, 2908, 4975
12, 5999, 31.9, 0, 5507, 4277, 5105, 3603, 6508
13, 6099, 0, 0, 1430, 653, 1022, 767, 1128
13, 6199, 0, 0, 2890, 1246, 2171, 1377, 2316
13, 6299, 28.571428571428573, 0, 4057, 1967, 3125, 2132, 3719
13, 6399, 28.666666666666668, 0, 5109, 2835, 4018, 2852, 5186
13, 6499, 27, 0, 6419, 3528, 5230, 3404, 6419
14, 6599, 0, 0, 1633, 642, 1160, 564, 1001
14, 6699, 0, 0, 2762, 1348, 2429, 1229, 2232
14, 6799, 29, 0, 3826, 2134, 3526, 1896, 3618
14, 6899, 29.958333333333332, 0, 4678, 2848, 4458, 2601, 5415
14, 6999, 29.571428571428573, 0, 5418, 3596, 5455, 3200, 7331
15, 7099, 0, 0, 1427, 739, 1203, 758, 873
15, 7199, 0, 0, 2570, 1535, 2223, 1690, 1982
15, 7299, 0, 0, 3689, 2242, 3059, 2559, 3451
15, 7399, 0, 0, 4805, 2825, 3842, 3274, 5254
15, 7499, 0, 0, 5933, 3406, 4535, 3887, 7239
16, 7599, 0, 0, 1554, 531, 885, 599, 1431
16, 7699, 0, 0, 2999, 1351, 1654, 1215, 2781
16, 7799, 0, 0, 4699, 1923, 2373, 1800, 4205
16, 7899, 0, 0, 6157, 2608, 3145, 2464, 5626
16, 7999, 26, 0, 7378, 3369, 4012, 3105, 7136
17, 8099, 0, 0, 1654, 818, 1065, 635, 828
17, 8199, 27.666666666666668, 0, 3117, 1539, 1785, 1490, 2069
17, 8299, 0, 0, 4698, 2218, 2441, 2153, 3490
17, 8399, 27.333333333333332, 0, 6220, 3004, 3112, 2709, 4955
17, 8499, 26, 0, 7695, 3652, 3910, 3253, 6490
18, 8599, 0, 0, 1408, 790, 1127, 742, 933
18, 8699, 0, 0, 2866, 1582, 2201, 1545, 1806
18, 8799, 0, 0, 4449, 2131, 3610, 2101, 2709
18, 8899, 0, 0, 6016, 2737, 5219, 2505, 3523
18, 8999, 0, 0, 7617, 3291, 6910, 2915, 4267
19, 9099, 26.8, 0, 1527, 582, 1602, 464, 825
19, 9199, 30.814814814814813, 0, 2572, 1511, 2694, 1363, 1860
19, 9299, 31.310344827586206, 0, 3530, 2145, 3929, 2198, 3198
19, 9399, 28.833333333333332, 0, 4642, 2909, 5002, 2946, 4501
19, 9499, 28.3, 0, 5693, 3656, 5970, 3611, 6070
20, 9599, 26, 0, 1400, 585, 1702, 410, 903
20, 9699, 27.294117647058822, 0, 2111, 1149, 3507, 922, 2311
20, 9799, 26.8125, 0, 2854, 1507, 5547, 1229, 3863
20, 9899, 0, 0, 3679, 1902, 7415, 1607, 5397
20, 9999, 29, 0, 4448, 2317, 9631, 1987, 6617
21, 10099, 0, 0, 1071, 811, 1512, 620, 986
21, 10199, 30.807692307692307, 0, 2274, 1481, 2663, 1324, 2258
21, 10299, 30.846153846153847, 0, 3556, 2076, 3655, 1916, 3797
21, 10399, 31.466666666666665, 0, 4833, 2594, 4639, 2470, 5464
21, 10499, 29.857142857142858, 0, 6253, 3089, 5692, 3046, 6920
22, 10599, 0, 0, 1293, 685, 1253, 848, 921
22, 10699, 0, 0, 2441, 1322, 2195, 1502, 2540
22, 10799, 0, 0, 3956, 1772, 3178, 1895, 4199
22, 10899, 0, 0, 5403, 2188, 4210, 2312, 5887
22, 10999, 0, 0, 6843, 2609, 5338, 2702, 7508
23, 11099, 0, 0, 1432, 628, 1163, 574, 1203
23, 11199, 0, 0, 2845, 1377, 2077, 1115, 2586
23, 11299, 0, 0, 4161, 2010, 3214, 1520, 4095
23, 11399, 0, 0, 5348, 2612, 4234, 1999, 5807
23, 11499, 0, 0, 6566, 3304, 5129, 2403, 7598
24, 11599, 0, 0, 1381, 627, 1180, 457, 1355
24, 11699, 0, 0, 2661, 1449, 2327, 1032, 2531
24, 11799, 0, 0, 3899, 2197, 3485, 1534, 3885
24, 11899, 26, 0, 5343, 2857, 4707, 2029, 5064
24, 11999, 0, 0, 6664, 3470, 5890, 2693, 6283
25, 12099, 0, 0, 1560, 561, 1252, 593, 1034
25, 12199, 0, 0, 2853, 1221, 2197, 1342, 2387
25, 12299, 26, 0, 4070, 1976, 3162, 2107, 3685
25, 12399, 27, 0, 5208, 2657, 4206, 2878, 5051
25, 12499, 0, 0, 6430, 3257, 5240, 3657, 6416
26, 12599, 0, 0, 1442, 577, 1146, 867, 968
26, 12699, 0, 0, 2580, 1218, 2165, 1702, 2335
26, 12799, 0, 0, 3985, 1689, 3314, 2281, 3731
26, 12899, 0, 0, 5402, 2116, 4473, 2866, 5143
26, 12999, 26, 0, 6828, 2548, 5678, 3441, 6505
27, 13099, 0, 0, 1518, 483, 1298, 608, 1093
27, 13199, 0, 0, 2732, 1427, 2470, 1456, 1915
27, 13299, 27.533333333333335, 0, 3867, 2354, 3622, 2325, 2832
27, 13399, 31.483870967741936, 0, 4946, 3096, 4633, 3225, 4100
27, 13499, 29.1, 0, 6496, 3594, 5978, 3676, 5256
28, 13599, 0, 0, 1582, 782, 1393, 533, 710
28, 13699, 0, 0, 2777, 1729, 2509, 1316, 1669
28, 13799, 0, 0, 4053, 2407, 3421, 1943, 3176
28, 13899, 0, 0, 5497, 3025, 4276, 2543, 4659
28, 13999, 0, 0, 6957, 3575, 5190, 3127, 6151
29, 14099, 0, 0, 1551, 593, 1086, 500, 1270
29, 14199, 26.666666666666668, 0, 2729, 1384, 2264, 1127, 2496
29, 14299, 27.58823529411765, 0, 3945, 2131, 3409, 1746, 3769
29, 14399, 28, 0, 5242, 2845, 4706, 2209, 4998
29, 14499, 29, 0, 6455, 3634, 6015, 2688, 6208
30, 14599, 0, 0, 1470, 596, 1462, 390, 1082
30, 14699, 0, 0, 2724, 1323, 2544, 1044, 2365
30, 14799, 0, 0, 3795, 1979, 3759, 1574, 3893
30, 14899, 27.333333333333332, 0, 4801, 2555, 5046, 2100, 5498
30, 14999, 28.375, 0, 5815, 3094, 6013, 2621, 7457
31, 15099, 0, 0, 1171, 580, 1302, 509, 1438
31, 15199, 0, 0, 2376, 1518, 2543, 1084, 2479
31, 15299, 0, 0, 3415, 2370, 3914, 1603, 3698
31, 15399, 0, 0, 4429, 3163, 5117, 2055, 5236
31, 15499, 0, 0, 5288, 3944, 6501, 2508, 6759
32, 15599, 0, 0, 1387, 640, 1483, 436, 1054
32, 15699, 0, 0, 2512, 1553, 2882, 1043, 2010
32, 15799, 0, 0, 3660, 2399, 4182, 1668, 3091
32, 15899, 26, 0, 4865, 3173, 5463, 2338, 4161
32, 15999, 27, 0, 6015, 3829, 6737, 3054, 5365
33, 16099, 26, 0, 1513, 495, 1437, 667, 888
33, 16199, 30.571428571428573, 0, 2850, 1040, 2558, 1317, 2235
33, 16299, 30.076923076923077, 0, 4228, 1486, 3766, 1559, 3961
33, 16399, 31.413793103448278, 0, 5454, 1923, 4984, 1888, 5751
33, 16499, 30.375, 0, 6824, 2327, 6221, 2093, 7535
34, 16599, 0, 0, 1649, 531, 1432, 715, 673
34, 16699, 0, 0, 3045, 1504, 2427, 1508, 1516
