--------------------------------------------------------------------------------
TIMESTAMP: 08:23:21.995 AM 29-Jun-2022
PARAMS:
  population 0
  wiggle-angle 45
  look-ahead 1
  sniff-threshold 0.9
  sniff-angle 45
  chemical-drop 3
  diffuse-share 1
  evaporation-rate 0.95
  cluster-threshold 25
  cluster-radius 10
  learning-turtles 50
  ticks-per-episode 500
  episodes 1500
  learning-rate 0.1
  discount-factor 0.9
  reward 100
  penalty -1
  e-greedy 0.5 0.9
ACTION SPACE: move-toward-chemical random-walk move-and-drop walk-and-drop drop-chemical
OBSERVATION SPACE: chemical-here in-cluster
REWARD: rewardFunc6
--------------------------------------------------------------------------------
Episode, Tick, Avg cluster size X tick, Avg reward X episode, move-toward-chemical, random-walk, move-and-drop, walk-and-drop, drop-chemical
1, 99, 0, 0, 894, 1066, 1096, 837, 1107
1, 199, 0, 0, 1717, 2009, 2196, 1738, 2340
1, 299, 0, 0, 2541, 3019, 3329, 2617, 3494
1, 399, 0, 0, 3365, 3974, 4403, 3488, 4770
1, 499, 0, 0, 4242, 4985, 5387, 4433, 5953
2, 599, 0, 0, 856, 1100, 997, 1036, 1011
2, 699, 0, 0, 1812, 2042, 1917, 2102, 2127
2, 799, 26, 0, 2800, 2892, 3051, 3147, 3110
2, 899, 0, 0, 3660, 3820, 4394, 3998, 4128
2, 999, 0, 0, 4655, 4654, 5640, 4966, 5085
3, 1099, 0, 0, 979, 1206, 939, 907, 969
3, 1199, 0, 0, 1870, 2331, 1898, 1980, 1921
3, 1299, 0, 0, 2746, 3483, 2742, 2948, 3081
3, 1399, 28, 0, 3624, 4604, 3568, 4029, 4175
3, 1499, 29.25, 0, 4644, 5498, 4446, 5241, 5171
4, 1599, 0, 0, 1000, 1104, 999, 923, 974
4, 1699, 0, 0, 1998, 2198, 1936, 1707, 2161
4, 1799, 0, 0, 3352, 2990, 2827, 2419, 3412
4, 1899, 0, 0, 4829, 3800, 3779, 3083, 4509
4, 1999, 0, 0, 6240, 4597, 4745, 3858, 5560
5, 2099, 0, 0, 1254, 932, 1056, 757, 1001
5, 2199, 0, 0, 2373, 1768, 2138, 1525, 2196
5, 2299, 0, 0, 3562, 2581, 3208, 2233, 3416
5, 2399, 0, 0, 4982, 3300, 4342, 2782, 4594
5, 2499, 0, 0, 6174, 3978, 5554, 3514, 5780
6, 2599, 27.352941176470587, 0, 1060, 677, 1290, 704, 1269
6, 2699, 29.142857142857142, 0, 2011, 1460, 2275, 1614, 2640
6, 2799, 26.125, 0, 2964, 2445, 3266, 2398, 3927
6, 2899, 27.476190476190474, 0, 3874, 3364, 4291, 3243, 5228
6, 2999, 31, 0, 4750, 4152, 5327, 4262, 6509
7, 3099, 0, 0, 1152, 852, 1184, 880, 932
7, 3199, 0, 0, 2194, 1812, 2165, 1815, 2014
7, 3299, 27, 0, 3339, 2581, 3206, 2845, 3029
7, 3399, 30.5, 0, 4390, 3288, 4345, 4052, 3925
7, 3499, 28.875, 0, 5409, 3957, 5523, 5340, 4771
8, 3599, 0, 0, 1179, 766, 1366, 877, 812
8, 3699, 0, 0, 2267, 1518, 2558, 1841, 1816
8, 3799, 27, 0, 3365, 2263, 3663, 2796, 2913
8, 3899, 29.608695652173914, 0, 4508, 3010, 4448, 4005, 4029
8, 3999, 0, 0, 5642, 3711, 5362, 5112, 5173
9, 4099, 0, 0, 1257, 990, 1137, 848, 768
9, 4199, 0, 0, 2374, 2019, 2175, 1735, 1697
9, 4299, 0, 0, 3582, 2836, 3423, 2423, 2736
9, 4399, 27.555555555555557, 0, 4689, 3679, 4412, 3314, 3906
9, 4499, 26.25, 0, 5794, 4637, 5381, 4085, 5103
10, 4599, 0, 0, 1439, 942, 1320, 476, 823
10, 4699, 0, 0, 2471, 1963, 2355, 1342, 1869
10, 4799, 0, 0, 3380, 2939, 3531, 2121, 3029
10, 4899, 0, 0, 4439, 3814, 4718, 2865, 4164
10, 4999, 0, 0, 5684, 4502, 6214, 3510, 5090
11, 5099, 0, 0, 1232, 767, 1501, 637, 863
11, 5199, 0, 0, 2303, 1561, 2801, 1375, 1960
11, 5299, 0, 0, 3397, 2383, 4132, 1971, 3117
11, 5399, 28.571428571428573, 0, 4326, 3253, 5271, 2899, 4251
11, 5499, 28, 0, 5174, 4194, 6164, 4019, 5449
12, 5599, 0, 0, 1243, 990, 1313, 672, 782
12, 5699, 0, 0, 2357, 1968, 2274, 1470, 1931
12, 5799, 0, 0, 3586, 2889, 3271, 2168, 3086
12, 5899, 0, 0, 4771, 3777, 4446, 2862, 4144
12, 5999, 0, 0, 6296, 4356, 5667, 3497, 5184
13, 6099, 0, 0, 1230, 757, 1286, 789, 938
13, 6199, 0, 0, 2366, 1646, 2349, 1617, 2022
13, 6299, 0, 0, 3713, 2263, 3482, 2188, 3354
13, 6399, 0, 0, 4991, 2871, 4671, 2581, 4886
13, 6499, 0, 0, 6254, 3358, 5922, 3050, 6416
14, 6599, 0, 0, 1100, 779, 1383, 676, 1062
14, 6699, 0, 0, 2210, 1460, 2626, 1344, 2360
14, 6799, 26, 0, 3313, 2106, 3654, 1976, 3951
14, 6899, 29.77777777777778, 0, 4387, 2562, 4824, 2533, 5694
14, 6999, 28, 0, 5345, 3077, 5878, 3331, 7369
15, 7099, 0, 0, 1121, 663, 1414, 765, 1037
15, 7199, 0, 0, 2049, 1442, 2934, 1442, 2133
15, 7299, 26.285714285714285, 0, 2856, 2070, 4517, 2067, 3490
15, 7399, 27.9, 0, 3618, 2623, 5982, 2632, 5145
15, 7499, 0, 0, 4303, 3176, 7467, 3202, 6852
16, 7599, 0, 0, 948, 829, 1361, 776, 1086
16, 7699, 27.333333333333332, 0, 2192, 1532, 2404, 1761, 2111
16, 7799, 26.875, 0, 3428, 2068, 3337, 2769, 3398
16, 7899, 28.142857142857142, 0, 4883, 2431, 4522, 3571, 4593
16, 7999, 29, 0, 6091, 2939, 5428, 4645, 5897
17, 8099, 0, 0, 1347, 602, 1208, 754, 1089
17, 8199, 28, 0, 2346, 1278, 2051, 1533, 2792
17, 8299, 0, 0, 3380, 1681, 2911, 2124, 4904
17, 8399, 32.32, 0, 4413, 2120, 3893, 2764, 6810
17, 8499, 29.75, 0, 5338, 2740, 4626, 3697, 8599
18, 8599, 0, 0, 1505, 620, 1278, 550, 1047
18, 8699, 0, 0, 2785, 1235, 2272, 1284, 2424
18, 8799, 28.642857142857142, 0, 3797, 1882, 3363, 2017, 3941
18, 8899, 28.923076923076923, 0, 4850, 2550, 4476, 2738, 5386
18, 8999, 29.22222222222222, 0, 5846, 3223, 5317, 3767, 6847
19, 9099, 0, 0, 1211, 552, 1268, 793, 1176
19, 9199, 27, 0, 2539, 1131, 2547, 1421, 2362
19, 9299, 26, 0, 3815, 1855, 3701, 1996, 3633
19, 9399, 29.57894736842105, 0, 4749, 2587, 4714, 3084, 4866
19, 9499, 29, 0, 5745, 3332, 5816, 4099, 6008
20, 9599, 0, 0, 1401, 782, 1304, 680, 833
20, 9699, 0, 0, 2749, 1563, 2311, 1504, 1873
20, 9799, 0, 0, 4233, 2308, 3320, 2207, 2932
20, 9899, 28.615384615384617, 0, 5629, 2869, 4478, 2867, 4157
20, 9999, 29.833333333333332, 0, 6647, 3494, 5574, 3826, 5459
21, 10099, 0, 0, 1314, 711, 1501, 651, 823
21, 10199, 0, 0, 2177, 1508, 3086, 1392, 1837
21, 10299, 0, 0, 3065, 2164, 4681, 2175, 2915
21, 10399, 0, 0, 3836, 2777, 6211, 3029, 4147
21, 10499, 0, 0, 4805, 3255, 7844, 3739, 5357
22, 10599, 0, 0, 1243, 595, 1484, 717, 961
22, 10699, 0, 0, 2598, 1414, 2461, 1300, 2227
22, 10799, 26, 0, 3784, 2208, 3327, 1836, 3845
22, 10899, 26, 0, 5067, 3031, 4110, 2311, 5481
22, 10999, 28, 0, 6238, 3905, 4774, 2886, 7197
23, 11099, 0, 0, 1593, 837, 954, 533, 1083
23, 11199, 0, 0, 2727, 2041, 1914, 1238, 2080
23, 11299, 0, 0, 3840, 3170, 2986, 1829, 3175
23, 11399, 0, 0, 4947, 3930, 4040, 2378, 4705
23, 11499, 0, 0, 6214, 4473, 5060, 2771, 6482
24, 11599, 0, 0, 1380, 771, 1042, 579, 1228
24, 11699, 0, 0, 2348, 1662, 1847, 1364, 2779
24, 11799, 0, 0, 3467, 2521, 2728, 2057, 4227
24, 11899, 0, 0, 4954, 3352, 3564, 2522, 5608
24, 11999, 0, 0, 6523, 4163, 4423, 2992, 6899
25, 12099, 0, 0, 1664, 605, 1193, 455, 1083
25, 12199, 26, 0, 2859, 1359, 2257, 1259, 2266
25, 12299, 29.458333333333332, 0, 3860, 2243, 3069, 2045, 3783
25, 12399, 31.333333333333332, 0, 4738, 2999, 4029, 2749, 5485
25, 12499, 29, 0, 5539, 3809, 5132, 3511, 7009
26, 12599, 0, 0, 1540, 734, 1048, 552, 1126
26, 12699, 28.444444444444443, 0, 2784, 1506, 2338, 1100, 2272
26, 12799, 27.3, 0, 3583, 2302, 3825, 1866, 3424
26, 12899, 27.53846153846154, 0, 4458, 3167, 5260, 2627, 4488
26, 12999, 28, 0, 5502, 4012, 6844, 3177, 5465
27, 13099, 0, 0, 1311, 898, 1600, 488, 703
27, 13199, 0, 0, 2444, 1927, 2999, 1246, 1384
27, 13299, 0, 0, 3413, 2935, 4286, 2124, 2242
27, 13399, 0, 0, 4344, 3889, 5537, 2939, 3291
27, 13499, 27.8, 0, 5322, 4757, 6627, 3882, 4412
28, 13599, 0, 0, 1322, 727, 1308, 709, 934
28, 13699, 0, 0, 2577, 1497, 2876, 1328, 1722
28, 13799, 0, 0, 3737, 2227, 4551, 1926, 2559
28, 13899, 0, 0, 5015, 2868, 6055, 2480, 3582
28, 13999, 0, 0, 6328, 3590, 7490, 2993, 4599
29, 14099, 0, 0, 1426, 713, 1337, 584, 940
29, 14199, 0, 0, 2511, 1621, 2544, 1429, 1895
29, 14299, 0, 0, 3866, 2399, 3747, 2085, 2903
29, 14399, 0, 0, 5485, 2937, 5057, 2426, 4095
29, 14499, 0, 0, 6974, 3544, 6454, 2923, 5105
30, 14599, 0, 0, 1537, 580, 1723, 525, 635
30, 14699, 0, 0, 2759, 1208, 3426, 1265, 1342
30, 14799, 0, 0, 4003, 1759, 5172, 1771, 2295
30, 14899, 0, 0, 5388, 2308, 6695, 2198, 3411
30, 14999, 0, 0, 6761, 3039, 7916, 2727, 4557
31, 15099, 0, 0, 1701, 455, 1506, 410, 928
31, 15199, 0, 0, 3033, 1167, 2928, 909, 1963
31, 15299, 0, 0, 4270, 1739, 4360, 1441, 3190
31, 15399, 0, 0, 5552, 2233, 5737, 1894, 4584
31, 15499, 0, 0, 6850, 2705, 7175, 2292, 5978
32, 15599, 0, 0, 1465, 586, 1422, 527, 1000
32, 15699, 0, 0, 3127, 1217, 2613, 1159, 1884
32, 15799, 0, 0, 4723, 1710, 3766, 1830, 2971
32, 15899, 0, 0, 6324, 2224, 4926, 2423, 4103
32, 15999, 0, 0, 7823, 2736, 5925, 3144, 5372
33, 16099, 0, 0, 1646, 399, 1317, 583, 1055
33, 16199, 26, 0, 2975, 897, 2571, 1324, 2233
33, 16299, 26, 0, 4337, 1357, 3788, 2019, 3499
33, 16399, 26.333333333333332, 0, 5743, 1742, 5067, 2694, 4754
33, 16499, 0, 0, 7048, 2235, 6231, 3358, 6128
34, 16599, 0, 0, 1574, 412, 1379, 603, 1032
34, 16699, 0, 0, 2885, 1046, 2504, 1368, 2197
34, 16799, 0, 0, 4064, 1701, 3744, 2068, 3423
34, 16899, 0, 0, 5228, 2285, 4988, 2714, 4785
34, 16999, 0, 0, 6370, 2938, 6203, 3280, 6209
35, 17099, 0, 0, 1335, 540, 1316, 667, 1142
35, 17199, 0, 0, 2353, 1574, 2216, 1298, 2559
35, 17299, 29, 0, 3278, 2473, 3279, 1953, 4017
35, 17399, 31.06896551724138, 0, 4342, 3184, 4160, 2637, 5677
35, 17499, 28.166666666666668, 0, 5377, 3889, 5104, 3339, 7291
36, 17599, 0, 0, 1326, 714, 1334, 576, 1050
36, 17699, 0, 0, 2473, 1541, 2790, 1247, 1949
36, 17799, 0, 0, 3644, 2447, 4193, 1879, 2837
36, 17899, 0, 0, 4794, 3443, 5843, 2405, 3515
36, 17999, 0, 0, 6047, 4422, 7586, 2800, 4145
37, 18099, 0, 0, 1442, 758, 1680, 372, 748
37, 18199, 27.294117647058822, 0, 2705, 1757, 3057, 918, 1563
37, 18299, 26.846153846153847, 0, 4060, 2688, 4347, 1533, 2372
37, 18399, 28.941176470588236, 0, 5136, 3672, 5553, 2273, 3366
37, 18499, 28, 0, 6247, 4746, 6720, 2983, 4304
38, 18599, 0, 0, 1582, 740, 1538, 485, 655
38, 18699, 0, 0, 3098, 1715, 2753, 1205, 1229
38, 18799, 0, 0, 4636, 2751, 3998, 1912, 1703
38, 18899, 0, 0, 6167, 3761, 5413, 2738, 1921
